

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.m   15 II 00
/X Y nT sq cor-nT time 
 1197  600  18669.82 -0681.54 09 * 040625.5 * * 
 1198  600  19373.53 -0090.24 09 * 040626.0 * * 
 1200  600  19379.62  0235.28 09 * 040626.5  12  6 
 1212  600  19442.18  0684.68 09 * 040627.0 * * 
 1225  600  18245.36  0032.12 09 * 040627.5 * * 
 1237  600  18552.34 -1842.88 09 * 040628.0 * * 
 1250  600  19589.52  0388.60 09 * 040628.5 * * 
 1262  600  19097.25  0140.12 09 * 040629.0 * * 
 1275  600  19176.51 -0481.64 09 * 040629.5 * * 
 1287  600  18355.05 -1597.74 09 * 040630.0 * * 
 1300  600  20117.99  0861.08 09 * 040630.5  13  6 
 1316  600  19011.11 -1590.32 09 * 040631.0 * * 
 1333  600  19923.53  0587.42 09 * 040631.5 * * 
 1350  600  19227.44  0408.88 09 * 040632.0 * * 
 1366  600  19644.43 -0265.88 09 * 040632.5 * * 
 1383  600  18236.90 -1537.26 09 * 040633.0 * * 
 1400  600  19012.44 -0897.56 09 * 040633.5  14  6 
 1410  600  19834.45  0317.22 09 * 040634.0 * * 
 1420  600  19494.23  0032.04 09 * 040634.5 * * 
 1430  600  19549.44 -0358.70 09 * 040635.0 * * 
 1440  600  19423.96 -1493.42 09 * 040635.5 * * 
 1450  600  17511.68 -2081.12 09 * 040636.0 * * 
 1460  600  18819.97 -1150.76 09 * 040636.5 * * 
 1470  600  19946.63 -0118.92 09 * 040637.0 * * 
 1480  600  17497.31 -1304.68 09 * 040637.5 * * 
 1490  600  18869.92 -1966.90 09 * 040638.0 * * 
 1500  600  18783.14  0573.26 09 * 040638.5  15  6 
 1516  600  19201.48 -0128.52 09 * 040639.0 * * 
 1533  600  19097.63  0563.60 09 * 040639.5 * * 
 1550  600  18803.64 -0799.66 09 * 040640.0 * * 
 1566  600  19738.67  0767.10 09 * 040640.5 * * 
 1583  600  18710.66  0685.48 09 * 040641.0 * * 
 1600  600  19120.27  0312.38 09 * 040641.5  16  6 
 1612  600  19484.00 -0312.98 09 * 040642.0 * * 
 1625  600  19138.30 -0586.18 09 * 040642.5 * * 
 1637  600  18092.05 -0064.80 09 * 040643.0 * * 
 1650  600  18367.87 -1456.24 09 * 040643.5 * * 
 1662  600  19715.53  0038.06 09 * 040644.0 * * 
 1675  600  19082.73 -1239.04 09 * 040644.5 * * 
 1687  600  18965.02  0237.92 09 * 040645.0 * * 
 1700  600  19499.34 -0538.86 09 * 040645.5  17  6 
 1705  600  18471.08 -0154.80 09 * 040646.0 * * 
 1711  600  17537.74 -3093.88 09 * 040646.5 * * 
 1716  600  18021.80 -3312.16 09 * 040647.0 * * 
 1722  600  19412.92 -0120.30 09 * 040647.5 * * 
 1727  600  19212.45 -0548.24 09 * 040648.0 * * 
 1733  600  18950.45 -0889.38 09 * 040648.5 * * 
 1738  600  19767.25  0005.86 09 * 040649.0 * * 
 1744  600  19028.88 -0659.04 09 * 040649.5 * * 
 1750  600  18272.03 -0442.02 09 * 040650.0 * * 
 1755  600  18528.73 -0005.14 09 * 040650.5 * * 
 1761  600  19072.95 -0830.76 09 * 040651.0 * * 
 1766  600  19458.30  0060.82 09 * 040651.5 * * 
 1772  600  18572.78  0135.82 09 * 040652.0 * * 
 1777  600  18755.25  0162.88 09 * 040652.5 * * 
 1783  600  19062.12 -1229.52 09 * 040653.0 * * 
 1788  600  19086.66 -1886.06 09 * 040653.5 * * 
 1794  600  19394.94  0250.06 09 * 040654.0 * * 
 1800  600  18617.78 -0612.94 19 * 040654.5  18  6 
 1812  600  18450.95 -2046.82 09 * 040655.0 * * 
 1825  600  19075.85  1531.14 09 * 040655.5 * * 
 1837  600  19044.80  0616.98 09 * 040656.0 * * 
 1850  600  19889.63  0476.86 09 * 040656.5 * * 
 1862  600  19526.27 -0368.48 09 * 040657.0 * * 
 1875  600  18802.54  1161.42 09 * 040657.5 * * 
 1887  600  19332.41  0795.40 09 * 040658.0 * * 
 1900  600  19517.39  2807.80 09 * 040658.5  19  6 
 1910  600  19389.09 -0562.06 09 * 040659.0 * * 
 1920  600  18254.87 -4894.46 09 * 040659.5 * * 
 1930  600  19025.59 -0758.84 09 * 040700.0 * * 
 1940  600  20173.97  1503.44 09 * 040700.5 * * 
 1950  600  18887.50  0209.88 09 * 040701.0 * * 
 1960  600  20223.64  1853.38 09 * 040701.5 * * 
 1970  600  19161.93  2708.38 09 * 040702.0 * * 
 1980  600  18593.04  0715.44 09 * 040702.5 * * 
 1990  600  18833.87 -4197.46 09 * 040703.0 * * 
 2000  600  18280.17 -0857.02 09 * 040703.5  20  6 
 2004  600  17451.89 -5319.92 09 * 040704.0 * * 
 2008  600  19208.03 -0682.90 09 * 040704.5 * * 
 2012  600  19235.70 -1124.98 09 * 040705.0 * * 
 2016  600  19669.44  0604.02 09 * 040705.5 * * 
 2020  600  19090.50 -1482.34 09 * 040706.0 * * 
 2025  600  18302.27 -3031.96 09 * 040706.5 * * 
 2029  600  19307.90 -0356.14 09 * 040707.0 * * 
 2033  600  18246.42 -0934.46 09 * 040707.5 * * 
 2037  600  19383.19  2837.30 09 * 040708.0 * * 
 2041  600  18542.58 -1253.58 09 * 040708.5 * * 
 2045  600  19013.81  0029.02 09 * 040709.0 * * 
 2050  600  18658.98 -0814.10 09 * 040709.5 * * 
 2054  600  18875.73  0996.04 09 * 040710.0 * * 
 2058  600  18304.80 -2302.48 09 * 040710.5 * * 
 2062  600  18493.77 -0899.42 09 * 040711.0 * * 
 2066  600  18135.91 -1524.46 09 * 040711.5 * * 
 2070  600  19582.17 -0223.58 09 * 040712.0 * * 
 2075  600  18905.10  0163.24 09 * 040712.5 * * 
 2079  600  18987.30 -1054.14 09 * 040713.0 * * 
 2083  600  18300.04 -3034.56 09 * 040713.5 * * 
 2087  600  19878.13  0183.02 09 * 040714.0 * * 
 2091  600  19062.00 -1050.02 09 * 040714.5 * * 
 2095  600  20102.93  2111.34 09 * 040715.0 * * 
 2100  600  19853.18  0910.48 09 * 040715.5  21  6 
 2116  600  21162.32  4937.10 09 * 040716.0 * * 
 2133  600  18305.80 -1397.66 09 * 040716.5 * * 
 2150  600  20234.81  0779.60 09 * 040717.0 * * 
 2166  600  19772.15  0821.40 09 * 040717.5 * * 
 2183  600  19561.25 -0705.78 09 * 040718.0 * * 
 2200  600  19176.20 -2141.04 09 * 040718.5  22  6 
 2100  800  19581.91  0690.10 09 * 040750.0  21  8 
 2099  800  20714.16  3941.60 09 * 040750.5 * * 
 2098  800  18306.50 -1343.64 09 * 040751.0 * * 
 2097  800  20184.01  3814.24 09 * 040751.5 * * 
 2096  800  19332.46 -0560.92 09 * 040752.0 * * 
 2095  800  19519.28  1030.96 09 * 040752.5 * * 
 2094  800  19254.94 -1259.38 09 * 040753.0 * * 
 2093  800  19482.24  1003.66 09 * 040753.5 * * 
 2092  800  19764.88 -0422.38 09 * 040754.0 * * 
 2090  800  19493.11 -1194.06 09 * 040754.5 * * 
 2089  800  19242.62  0499.66 09 * 040755.0 * * 
 2088  800  19604.81 -0842.44 09 * 040755.5 * * 
 2087  800  19302.53  0461.34 09 * 040756.0 * * 
 2086  800  20055.86  0101.62 09 * 040756.5 * * 
 2085  800  18788.61 -1036.92 09 * 040757.0 * * 
 2084  800  19720.27 -0236.88 09 * 040757.5 * * 
 2083  800  20280.70  0281.34 09 * 040758.0 * * 
 2081  800  19799.10 -0166.24 09 * 040758.5 * * 
 2080  800  19671.95  1078.98 09 * 040759.0 * * 
 2079  800  19858.98  0173.42 09 * 040759.5 * * 
 2078  800  18809.41 -0764.92 09 * 040800.0 * * 
 2077  800  19515.93  2778.68 09 * 040800.5 * * 
 2076  800  18836.75  0686.44 09 * 040801.0 * * 
 2075  800  20608.43  0505.64 09 * 040801.5 * * 
 2074  800  18259.71  0653.64 09 * 040802.0 * * 
 2072  800  20153.84  0442.02 09 * 040802.5 * * 
 2071  800  20468.59  1503.86 09 * 040803.0 * * 
 2070  800  19654.68  0178.56 09 * 040803.5 * * 
 2069  800  20017.15  1836.82 09 * 040804.0 * * 
 2068  800  18766.31  0663.02 09 * 040804.5 * * 
 2067  800  19786.38 -0191.66 09 * 040805.0 * * 
 2066  800  20059.84  2446.08 09 * 040805.5 * * 
 2065  800  18423.97 -1142.28 09 * 040806.0 * * 
 2063  800  20362.14  2758.96 09 * 040806.5 * * 
 2062  800  20000.46  0060.76 09 * 040807.0 * * 
 2061  800  18983.71  0085.36 09 * 040807.5 * * 
 2060  800  20710.10  2250.64 09 * 040808.0 * * 
 2059  800  19555.30  0687.62 09 * 040808.5 * * 
 2058  800  20347.50  2637.46 09 * 040809.0 * * 
 2057  800  20301.79  0737.88 09 * 040809.5 * * 
 2056  800  20076.34  1040.22 09 * 040810.0 * * 
 2054  800  19313.13 -0340.94 09 * 040810.5 * * 
 2053  800  20032.42 -0344.44 09 * 040811.0 * * 
 2052  800  19699.38  0019.72 09 * 040811.5 * * 
 2051  800  21221.98  2537.30 09 * 040812.0 * * 
 2050  800  16660.31 -5415.32 09 * 040812.5 * * 
 2049  800  22057.32  8054.60 09 * 040813.0 * * 
 2048  800  19716.28  0244.24 09 * 040813.5 * * 
 2047  800  22028.72  7457.10 09 * 040814.0 * * 
 2045  800  19584.97  1670.48 09 * 040814.5 * * 
 2044  800  20494.24  1256.82 09 * 040815.0 * * 
 2043  800  20354.72 -0628.98 09 * 040815.5 * * 
 2042  800  19553.04  1084.56 09 * 040816.0 * * 
 2041  800  20548.95 -0361.82 09 * 040816.5 * * 
 2040  800  20308.85  2153.54 09 * 040817.0 * * 
 2039  800  20882.02  0331.06 09 * 040817.5 * * 
 2038  800  19900.33 -0401.10 09 * 040818.0 * * 
 2036  800  20342.14 -0433.38 09 * 040818.5 * * 
 2035  800  19847.17 -0905.62 09 * 040819.0 * * 
 2034  800  20396.25  2091.88 09 * 040819.5 * * 
 2033  800  19239.36 -2193.14 09 * 040820.0 * * 
 2032  800  19115.26 -0982.30 09 * 040820.5 * * 
 2031  800  19412.82 -0390.52 09 * 040821.0 * * 
 2030  800  20112.49  0062.82 09 * 040821.5 * * 
 2029  800  19954.48  1759.66 09 * 040822.0 * * 
 2027  800  19445.07 -0863.02 09 * 040822.5 * * 
 2026  800  21535.37  4222.08 09 * 040823.0 * * 
 2025  800  19638.07  2035.56 09 * 040823.5 * * 
 2024  800  22158.54  6230.98 09 * 040824.0 * * 
 2023  800  20330.28  5776.56 09 * 040824.5 * * 
 2022  800  22201.64  6045.16 09 * 040825.0 * * 
 2021  800  20012.53 -0459.10 09 * 040825.5 * * 
 2020  800  22191.03  4261.44 09 * 040826.0 * * 
 2018  800  19987.10  1466.34 09 * 040826.5 * * 
 2017  800  20494.63  1601.36 09 * 040827.0 * * 
 2016  800  18891.53 -0906.36 09 * 040827.5 * * 
 2015  800  20849.19  0889.60 09 * 040828.0 * * 
 2014  800  19899.98  0426.14 09 * 040828.5 * * 
 2013  800  19184.15 -1320.84 09 * 040829.0 * * 
 2012  800  19427.43 -0169.80 09 * 040829.5 * * 
 2011  800  20021.62  0458.46 09 * 040830.0 * * 
 2009  800  19087.03 -0149.68 09 * 040830.5 * * 
 2008  800  19744.62  0143.50 09 * 040831.0 * * 
 2007  800  19740.60 -2478.26 09 * 040831.5 * * 
 2006  800  20009.86 -0041.10 09 * 040832.0 * * 
 2005  800  19213.69 -1159.12 09 * 040832.5 * * 
 2004  800  19881.05  1432.56 09 * 040833.0 * * 
 2003  800  18967.19  0931.44 09 * 040833.5 * * 
 2002  800  19629.13  1574.68 09 * 040834.0 * * 
 2000  800  19800.70  3303.54 09 * 040834.5  20  8 
 1984  800  19804.26  2394.90 09 * 040835.0 * * 
 1967  800  18835.79  0092.32 09 * 040835.5 * * 
 1950  800  19275.72  2330.22 09 * 040836.0 * * 
 1934  800  19550.77 -0131.70 09 * 040836.5 * * 
 1917  800  18650.59  0340.04 09 * 040837.0 * * 
 1900  800  20119.72 -0906.34 09 * 040837.5  19  8 
 1884  800  19587.94  0001.82 09 * 040838.0 * * 
 1867  800  20927.75  0890.88 09 * 040838.5 * * 
 1850  800  19518.18 -1387.28 09 * 040839.0 * * 
 1834  800  21068.16  0721.34 09 * 040839.5 * * 
 1817  800  19245.18 -2019.16 09 * 040840.0 * * 
 1800  800  19863.35 -0999.68 09 * 040840.5  18  8 
 1788  800  19227.37 -1638.38 09 * 040841.0 * * 
 1775  800  19540.80 -1433.16 09 * 040841.5 * * 
 1763  800  19792.40  0857.22 09 * 040842.0 * * 
 1750  800  19624.88  1029.62 09 * 040842.5 * * 
 1738  800  19651.05 -0544.60 09 * 040843.0 * * 
 1725  800  19298.50  0516.24 09 * 040843.5 * * 
 1713  800  17745.51 -3488.96 09 * 040844.0 * * 
 1700  800  19910.87  0347.96 09 * 040844.5  17  8 
 1692  800  19716.50 -0204.12 09 * 040845.0 * * 
 1684  800  20486.87  1642.32 09 * 040845.5 * * 
 1675  800  19105.66 -0601.86 09 * 040846.0 * * 
 1667  800  19841.09  0277.78 09 * 040846.5 * * 
 1659  800  19597.44  1204.42 09 * 040847.0 * * 
 1650  800  19437.85 -0612.84 09 * 040847.5 * * 
 1642  800  19292.81  1995.48 09 * 040848.0 * * 
 1634  800  20737.27  0516.68 09 * 040848.5 * * 
 1625  800  19405.96 -1679.84 09 * 040849.0 * * 
 1617  800  22536.75  6662.84 09 * 040849.5 * * 
 1609  800  19125.65 -4083.22 09 * 040850.0 * * 
 1600  800  21515.06  4205.82 09 * 040850.5  16  8 
 1590  800  19826.92 -1469.06 09 * 040851.0 * * 
 1580  800  21151.81  3797.66 09 * 040851.5 * * 
 1570  800  19177.74 -2621.84 09 * 040852.0 * * 
 1560  800  20157.37  3885.52 09 * 040852.5 * * 
 1550  800  20202.07 -1934.28 09 * 040853.0 * * 
 1540  800  19717.40  0312.86 09 * 040853.5 * * 
 1530  800  20006.12 -0228.36 09 * 040854.0 * * 
 1520  800  19968.64  0416.92 09 * 040854.5 * * 
 1510  800  19577.19  0753.16 09 * 040855.0 * * 
 1500  800  19300.39 -3441.06 09 * 040855.5  15  8 
 1488  800  20422.52  1317.54 09 * 040856.0 * * 
 1475  800  20170.63 -0501.98 09 * 040856.5 * * 
 1463  800  18923.59 -0798.56 09 * 040857.0 * * 
 1450  800  20109.27 -0363.76 09 * 040857.5 * * 
 1438  800  19592.49  0814.48 09 * 040858.0 * * 
 1425  800  20072.78 -0095.62 09 * 040858.5 * * 
 1413  800  19272.70 -1510.38 09 * 040859.0 * * 
 1400  800  19127.83  0200.92 09 * 040859.5  14  8 
 1388  800  19097.19  1042.72 09 * 040900.0 * * 
 1375  800  19367.77 -0522.78 09 * 040900.5 * * 
 1363  800  17897.63  0446.70 09 * 040901.0 * * 
 1350  800  19355.38 -0766.84 09 * 040901.5 * * 
 1338  800  20730.73  1209.60 09 * 040902.0 * * 
 1325  800  19601.34 -0500.68 09 * 040902.5 * * 
 1313  800  19883.82 -1344.30 09 * 040903.0 * * 
 1300  800  19553.65  0322.52 09 * 040903.5  13  8 
 1298  800  19116.34 -1047.16 09 * 040904.0 * * 
 1295  800  19533.45 -0094.34 09 * 040904.5 * * 
 1292  800  19907.60  0562.44 09 * 040905.0 * * 
 1289  800  20020.48  2878.02 09 * 040905.5 * * 
 1286  800  19184.61 -0750.74 09 * 040906.0 * * 
 1283  800  19756.31  1118.20 09 * 040906.5 * * 
 1280  800  19882.78 -0007.44 09 * 040907.0 * * 
 1277  800  21465.21  1989.34 09 * 040907.5 * * 
 1274  800  19629.96 -0388.42 09 * 040908.0 * * 
 1271  800  20875.40  2619.94 09 * 040908.5 * * 
 1268  800  20522.81  7088.70 09 * 040909.0 * * 
 1265  800  20391.95  2223.04 09 * 040909.5 * * 
 1262  800  21122.25  4687.44 09 * 040910.0 * * 
 1259  800  20549.83  0863.76 09 * 040910.5 * * 
 1256  800  21116.70  3450.62 09 * 040911.0 * * 
 1253  800  19887.91 -0511.62 09 * 040911.5 * * 
 1250  800  20264.58  0612.20 09 * 040912.0 * * 
 1248  800  19487.34  0444.20 09 * 040912.5 * * 
 1245  800  19784.12  0321.20 09 * 040913.0 * * 
 1242  800  19537.48  1898.46 09 * 040913.5 * * 
 1239  800  19411.64  1356.12 09 * 040914.0 * * 
 1236  800  19988.38  0354.66 09 * 040914.5 * * 
 1233  800  19836.14  0306.12 09 * 040915.0 * * 
 1230  800  19579.41  0960.90 09 * 040915.5 * * 
 1227  800  20721.70  0191.16 09 * 040916.0 * * 
 1224  800  18249.40 -2042.30 09 * 040916.5 * * 
 1221  800  20018.94  0349.50 09 * 040917.0 * * 
 1218  800  18978.90  0042.16 09 * 040917.5 * * 
 1215  800  18945.79 -1722.98 09 * 040918.0 * * 
 1212  800  19880.61  1594.38 09 * 040918.5 * * 
 1209  800  19212.30  1051.66 09 * 040919.0 * * 
 1206  800  19637.15  1131.32 09 * 040919.5 * * 
 1203  800  19522.52  1583.26 09 * 040920.0 * * 
 1200  800  19544.34  0997.12 09 * 040920.5  12  8 
 1175  800  19442.09  1023.66 09 * 040921.0 * * 
 1150  800  19301.02  0679.14 09 * 040921.5 * * 
 1125  800  19680.44 -1324.88 09 * 040922.0 * * 
 1100  800  19797.51 -0689.76 09 * 040922.5  11  8 
 1095  800  19864.62  0981.44 09 * 040923.0 * * 
 1089  800  19932.99  1581.96 09 * 040923.5 * * 
 1084  800  19731.80  1494.42 09 * 040924.0 * * 
 1078  800  20242.28  3187.02 09 * 040924.5 * * 
 1073  800  19446.35  0852.62 09 * 040925.0 * * 
 1067  800  19893.37  0346.08 09 * 040925.5 * * 
 1062  800  20053.83  0288.58 09 * 040926.0 * * 
 1056  800  18885.98 -4413.90 09 * 040926.5 * * 
 1050  800  19199.46  0070.94 09 * 040927.0 * * 
 1045  800  19805.21 -3420.40 09 * 040927.5 * * 
 1039  800  20574.86  3610.62 09 * 040928.0 * * 
 1034  800  19398.57 -3762.34 09 * 040928.5 * * 
 1028  800  19678.87  1128.92 09 * 040929.0 * * 
 1023  800  19404.12 -2327.78 09 * 040929.5 * * 
 1017  800  18078.36  0663.14 09 * 040930.0 * * 
 1012  800  19200.21 -3697.10 09 * 040930.5 * * 
 1006  800  19301.67  1182.74 09 * 040931.0 * * 
 1000  800  19582.38 -2944.84 09 * 040931.5  10  8 
