

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.wg  15 II 00
/00050 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 355  0  19990.71  0033.34 09 * 192835.5 * * 
 361  0  18485.24 -5197.00 09 * 192836.0 * * 
 366  0  19226.44 -1094.48 09 * 192836.5 * * 
 372  0  18878.94 -5392.38 09 * 192837.0 * * 
 377  0  19586.01 -0146.28 09 * 192837.5 * * 
 383  0  19838.23 -2325.92 09 * 192838.0 * * 
 388  0  19673.93 -1297.60 09 * 192838.5 * * 
 394  0  18972.22 -2711.64 09 * 192839.0 * * 
 400  0  19253.69 -1459.26 09 * 192839.5  4  0 
 404  0  19501.07 -1118.82 09 * 192840.0 * * 
 408  0  18764.27 -2224.98 09 * 192840.5 * * 
 412  0  18867.21 -2129.48 09 * 192841.0 * * 
 416  0  19535.00 -0745.76 09 * 192841.5 * * 
 420  0  19695.08 -0552.78 09 * 192842.0 * * 
 425  0  19073.07 -1765.60 09 * 192842.5 * * 
 429  0  19674.44 -0609.38 09 * 192843.0 * * 
 433  0  18451.13 -3027.54 09 * 192843.5 * * 
 437  0  19878.17 -0094.12 09 * 192844.0 * * 
 441  0  18182.67 -3523.10 09 * 192844.5 * * 
 445  0  19106.05 -0387.78 09 * 192845.0 * * 
 450  0  19476.56 -0502.36 09 * 192845.5 * * 
 454  0  19677.18 -0481.66 09 * 192846.0 * * 
 458  0  19815.93  0027.82 19 * 192846.5 * * 
 462  0  19266.69 -1181.16 09 * 192847.0 * * 
 466  0  18617.73 -2418.44 09 * 192847.5 * * 
 470  0  19308.91 -0863.12 09 * 192848.0 * * 
 475  0  20140.35  0050.20 09 * 192848.5 * * 
 479  0  19068.85 -0858.78 09 * 192849.0 * * 
 483  0  19558.83  0185.82 09 * 192849.5 * * 
 487  0  19663.42 -0445.66 09 * 192850.0 * * 
 491  0  19341.70 -0323.70 09 * 192850.5 * * 
 495  0  19266.44 -1134.64 09 * 192851.0 * * 
 500  0  19408.25 -1028.84 09 * 192851.5  5  0 
 505  0  19983.18 -0408.64 09 * 192852.0 * * 
 510  0  18970.63  0323.88 09 * 192852.5 * * 
 515  0  20098.25  0884.88 09 * 192853.0 * * 
 520  0  19584.60 -0749.80 09 * 192853.5 * * 
 525  0  19406.50 -1048.22 09 * 192854.0 * * 
 530  0  18274.85 -3314.70 09 * 192854.5 * * 
 535  0  19554.77  0684.92 09 * 192855.0 * * 
 540  0  19656.91 -0119.34 09 * 192855.5 * * 
 545  0  18483.57 -2811.24 09 * 192856.0 * * 
 550  0  18240.15 -3218.60 09 * 192856.5 * * 
 555  0  19156.26 -0954.16 09 * 192857.0 * * 
 560  0  20144.42  0733.56 09 * 192857.5 * * 
 565  0  18966.32  1093.76 09 * 192858.0 * * 
 570  0  19527.70 -0777.72 09 * 192858.5 * * 
 575  0  18912.81 -1696.58 09 * 192859.0 * * 
 580  0  19400.03 -0390.32 09 * 192859.5 * * 
 585  0  18997.09 -1111.84 09 * 192900.0 * * 
 590  0  19781.83 -0943.48 09 * 192900.5 * * 
 595  0  19189.24 -1362.32 09 * 192901.0 * * 
 600  0  17961.31 -3724.00 09 * 192901.5  6  0 
 605  0  18878.58 -0804.58 09 * 192902.0 * * 
 610  0  18886.51 -1609.64 09 * 192902.5 * * 
 615  0  19625.47 -0033.44 09 * 192903.0 * * 
 620  0  18756.69 -0445.96 09 * 192903.5 * * 
 625  0  18305.53 -2814.56 09 * 192904.0 * * 
 630  0  19738.01 -0371.62 09 * 192904.5 * * 
 635  0  19303.98  1360.24 09 * 192905.0 * * 
 640  0  18816.60 -2243.24 09 * 192905.5 * * 
 645  0  19517.33  1652.76 09 * 192906.0 * * 
 650  0  20009.20  0015.48 09 * 192906.5 * * 
 655  0  19597.89  0301.08 09 * 192907.0 * * 
 660  0  20018.78  1107.72 09 * 192907.5 * * 
 665  0  17788.45 -3769.80 09 * 192908.0 * * 
 670  0  19700.64  0181.56 09 * 192908.5 * * 
 675  0  20484.62  1416.78 09 * 192909.0 * * 
 680  0  19421.43 -1220.78 09 * 192909.5 * * 
 685  0  20127.13  0949.72 09 * 192910.0 * * 
 690  0  17585.22 -4337.40 09 * 192910.5 * * 
 695  0  19677.01 -0763.64 09 * 192911.0 * * 
 700  0  20530.35  2870.72 09 * 192911.5  7  0 
 703  0  20105.53  0063.96 09 * 192912.0 * * 
 707  0  21710.25  5774.16 09 * 192912.5 * * 
 710  0  20079.99  0073.78 09 * 192913.0 * * 
 714  0  20220.12  2170.78 09 * 192913.5 * * 
 717  0  19554.65  0463.34 09 * 192914.0 * * 
 721  0  20955.63  2870.92 09 * 192914.5 * * 
 725  0  20078.35  0206.32 09 * 192915.0 * * 
 728  0  20942.75  1998.18 09 * 192915.5 * * 
 732  0  19016.53 -1276.52 09 * 192916.0 * * 
 735  0  21755.52  3648.64 09 * 192916.5 * * 
 739  0  20023.93 -0408.38 09 * 192917.0 * * 
 742  0  21287.24  2352.20 09 * 192917.5 * * 
 746  0  19730.98 -0139.28 09 * 192918.0 * * 
 750  0  22138.39  4722.24 09 * 192918.5 * * 
 753  0  18790.04 -1748.18 09 * 192919.0 * * 
 757  0  20194.33  0765.58 09 * 192919.5 * * 
 760  0  19434.62 -1024.98 09 * 192920.0 * * 
 764  0  20495.24  1229.08 09 * 192920.5 * * 
 767  0  19235.61 -1577.34 09 * 192921.0 * * 
 771  0  19954.02  0017.16 09 * 192921.5 * * 
 775  0  19081.62 -0699.86 09 * 192922.0 * * 
 778  0  19530.06 -0845.50 09 * 192922.5 * * 
 782  0  16681.75 -5262.32 09 * 192923.0 * * 
 785  0  19337.39 -0342.24 09 * 192923.5 * * 
 789  0  18973.89 -1837.26 09 * 192924.0 * * 
 792  0  22941.88  6835.80 09 * 192924.5 * * 
 796  0  20173.74  0398.62 09 * 192925.0 * * 
 800  0  21231.12  2546.46 09 * 192925.5  8  0 
 800  200  20602.01  1428.40 09 * 192949.0  8  2 
 780  200  23556.29  7725.16 09 * 192949.5 * * 
