
Append with new capture


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.b   16 VII25
/datum  49000.00
/ 051.7627556   014.3228212 
/UTC


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 02survey.b   22 VII25
/datum  49000.00
/ 051.7740993   014.2785475 
/UTC
/time nT sq 
092142.0  49824.71 99 
092143.0  49824.73 99 
092144.0  49824.70 99 
092145.0  49824.73 99 
092146.0  49824.68 99 
092147.0  49824.64 99 
092148.0  49824.51 99 
092149.0  49824.61 99 
092150.0  49824.63 99 
092151.0  49824.66 99 
092152.0  49824.63 99 
092153.0  49824.62 99 
092154.0  49824.54 99 
092155.0  49824.56 99 
092156.0  49824.56 99 
092157.0  49824.59 99 
092158.0  49824.63 99 
092159.0  49824.70 99 
092200.0  49824.68 99 
092201.0  49824.63 99 
092202.0  49824.72 99 
092203.0  49824.67 99 
092204.0  49824.68 99 
092205.0  49824.70 99 
092206.0  49824.66 99 
092207.0  49824.75 99 
092208.0  49824.80 99 
092209.0  49824.83 99 
092210.0  49824.84 99 
092211.0  49824.78 99 
092212.0  49824.73 99 
092213.0  49824.62 99 
092214.0  49824.53 99 
092215.0  49824.51 99 
092216.0  49824.43 99 
092217.0  49824.39 99 
092218.0  49824.55 99 
092219.0  49824.60 99 
092220.0  49824.65 99 
092221.0  49824.66 99 
092222.0  49824.61 99 
092223.0  49824.50 99 
092224.0  49824.49 99 
092225.0  49824.55 99 
092226.0  49824.51 99 
092227.0  49824.48 99 
092228.0  49824.40 99 
092229.0  49824.21 99 
092230.0  49824.11 99 
092231.0  49824.04 99 
092232.0  49824.02 99 
092233.0  49823.92 99 
092234.0  49824.08 99 
092235.0  49824.17 99 
092236.0  49824.37 99 
092237.0  49824.59 99 
092238.0  49824.59 99 
092239.0  49824.67 99 
092240.0  49824.74 99 
092241.0  49824.76 99 
092242.0  49824.80 99 
092243.0  49824.82 99 
092244.0  49824.81 99 
092245.0  49824.86 99 
092246.0  49824.88 99 
092247.0  49824.88 99 
092248.0  49824.89 99 
092249.0  49824.84 99 
092250.0  49824.83 99 
092251.0  49824.84 99 
092252.0  49824.86 99 
092253.0  49824.82 99 
092254.0  49824.84 99 
092255.0  49824.80 99 
092256.0  49824.82 99 
092257.0  49824.81 99 
092258.0  49824.79 99 
092259.0  49824.73 99 
092300.0  49824.61 99 
092301.0  49824.60 99 
092302.0  49824.56 99 
092303.0  49824.56 99 
092304.0  49824.68 99 
092305.0  49824.65 99 
092306.0  49824.60 99 
092307.0  49824.57 99 
092308.0  49824.66 99 
092309.0  49824.71 99 
092310.0  49824.64 99 
092311.0  49824.58 99 
092312.0  49824.61 99 
092313.0  49824.67 99 
092314.0  49824.70 99 
092315.0  49824.77 99 
092316.0  49824.86 99 
092317.0  49824.84 99 
092318.0  49824.80 99 
092319.0  49824.72 99 
092320.0  49824.57 99 
092321.0  49824.61 99 
092322.0  49824.49 99 
092323.0  49824.35 99 
092324.0  49824.24 99 
092325.0  49824.22 99 
092326.0  49824.23 99 
092327.0  49824.25 99 
092328.0  49824.30 99 
092329.0  49824.27 99 
092330.0  49824.24 99 
092331.0  49824.35 99 
092332.0  49824.70 99 
092333.0  49824.76 99 
092334.0  49824.79 99 
092335.0  49824.80 99 
092336.0  49824.77 99 
092337.0  49824.85 99 
092338.0  49824.83 99 
092339.0  49824.83 99 
092340.0  49824.79 99 
092341.0  49824.71 99 
092342.0  49824.67 99 
092343.0  49824.68 99 
092344.0  49824.65 99 
092345.0  49824.69 99 
092346.0  49824.71 99 
092347.0  49824.66 99 
092348.0  49824.64 99 
092349.0  49824.61 99 
092350.0  49824.63 99 
092351.0  49824.65 99 
092352.0  49824.69 99 
092353.0  49824.73 99 
092354.0  49824.90 99 
092355.0  49824.85 99 
092356.0  49824.73 99 
092357.0  49824.75 99 
092358.0  49824.76 99 
092359.0  49824.80 99 
092400.0  49824.82 99 
092401.0  49824.85 99 
092402.0  49824.84 99 
092403.0  49824.85 99 
092404.0  49824.80 99 
092405.0  49824.80 99 
092406.0  49824.71 99 
092407.0  49824.77 99 
092408.0  49824.79 99 
092409.0  49824.77 99 
092410.0  49824.74 99 
092411.0  49824.72 99 
092412.0  49824.82 99 
092413.0  49824.85 99 
092414.0  49824.86 99 
092415.0  49824.93 99 
092416.0  49824.94 99 
092417.0  49824.86 99 
092418.0  49824.81 99 
092419.0  49824.82 99 
092420.0  49824.84 99 
092421.0  49824.90 99 
092422.0  49825.00 99 
092423.0  49825.03 99 
092424.0  49825.07 99 
092425.0  49825.07 99 
092426.0  49825.05 99 
092427.0  49825.02 99 
092428.0  49824.90 99 
092429.0  49824.77 99 
092430.0  49824.75 99 
092431.0  49824.86 99 
092432.0  49824.90 99 
092433.0  49824.87 99 
092434.0  49824.84 99 
092435.0  49824.79 99 
092436.0  49824.76 99 
092437.0  49824.75 99 
092438.0  49824.76 99 
092439.0  49824.79 99 
092440.0  49824.69 99 
092441.0  49824.47 99 
092442.0  49824.32 99 
092443.0  49824.41 99 
092444.0  49824.73 99 
092445.0  49824.82 99 
092446.0  49824.89 99 
092447.0  49824.83 99 
092448.0  49824.77 99 
092449.0  49824.67 99 
092450.0  49824.70 99 
092451.0  49824.67 99 
092452.0  49824.68 99 
092453.0  49823.91 99 
092454.0  49824.25 99 
092455.0  49824.53 99 
092456.0  49824.68 99 
092457.0  49824.77 99 
092458.0  49824.91 99 
092459.0  49824.92 99 
092500.0  49824.95 99 
092501.0  49824.92 99 
092502.0  49824.92 99 
092503.0  49824.80 99 
092504.0  49824.81 99 
092505.0  49824.76 99 
092506.0  49824.78 99 
092507.0  49824.81 99 
092508.0  49824.77 99 
092509.0  49824.75 99 
092510.0  49824.74 99 
092511.0  49824.71 99 
092512.0  49824.71 99 
092513.0  49824.71 99 
092514.0  49824.70 99 
092515.0  49824.74 99 
092516.0  49824.75 99 
092517.0  49824.81 99 
092518.0  49824.78 99 
092519.0  49824.64 99 
092520.0  49824.45 99 
092521.0  49824.22 99 
092522.0  49824.17 99 
092523.0  49824.26 99 
092524.0  49824.27 99 
092525.0  49824.29 99 
092526.0  49824.56 99 
092527.0  49824.70 99 
092528.0  49824.74 99 
092529.0  49824.78 99 
092530.0  49824.80 99 
092531.0  49824.72 99 
092532.0  49824.67 99 
092533.0  49824.74 99 
092534.0  49824.79 99 
092535.0  49824.78 99 
092536.0  49824.73 99 
092537.0  49824.71 99 
092538.0  49824.78 99 
092539.0  49824.82 99 
092540.0  49824.83 99 
092541.0  49824.80 99 
092542.0  49824.60 99 
092543.0  49824.37 99 
092544.0  49824.50 99 
092545.0  49824.72 99 
092546.0  49824.81 99 
092547.0  49824.84 99 
092548.0  49824.82 99 
092549.0  49824.86 99 
092550.0  49824.87 99 
092551.0  49824.84 99 
092552.0  49824.81 99 
092553.0  49824.82 99 
092554.0  49824.80 99 
092555.0  49824.64 99 
092556.0  49824.47 99 
092557.0  49824.61 99 
092558.0  49824.90 99 
092559.0  49824.93 99 
092600.0  49825.04 99 
092601.0  49825.07 99 
