X,Y,Z,Resistivity,Easting,Northing,Profile
81.5,0.0,-0.188,161.65,464703.9102564103,5754423.992307693,9
82.5,0.0,-0.188,162.63,464703.8846153846,5754422.961538462,9
83.5,0.0,-0.188,154.62,464703.858974359,5754421.930769231,9
84.5,0.0,-0.188,161.65,464703.8333333333,5754420.9,9
85.5,0.0,-0.188,162.19,464703.8076923077,5754419.86923077,9
86.5,0.0,-0.188,140.97,464703.78205128206,5754418.838461539,9
87.5,0.0,-0.188,142.94,464703.7564102565,5754417.807692308,9
88.5,0.0,-0.188,172.26,464703.7307692308,5754416.776923077,9
89.5,0.0,-0.188,176.19,464703.7051282051,5754415.746153846,9
90.5,0.0,-0.188,153.82,464703.6794871795,5754414.715384616,9
91.5,0.0,-0.188,176.08,464703.6538461539,5754413.684615385,9
92.5,0.0,-0.188,169.6,464703.6282051282,5754412.653846154,9
93.5,0.0,-0.188,169.82,464703.60256410256,5754411.623076923,9
94.5,0.0,-0.188,169.85,464703.57692307694,5754410.592307692,9
95.5,0.0,-0.188,168.82,464703.5512820513,5754409.561538462,9
96.5,0.0,-0.188,180.03,464703.5256410256,5754408.530769231,9
97.5,0.0,-0.188,155.35,464703.5,5754407.5,9
98.5,0.0,-0.188,155.94,464703.4743589744,5754406.469230769,9
99.5,0.0,-0.188,173.72,464703.4487179487,5754405.438461538,9
100.5,0.0,-0.188,151.57,464703.4230769231,5754404.407692308,9
101.5,0.0,-0.188,151.7,464703.39743589744,5754403.376923077,9
102.5,0.0,-0.188,163.94,464703.3717948718,5754402.346153846,9
103.5,0.0,-0.188,164.22,464703.3461538461,5754401.315384615,9
104.5,0.0,-0.188,142.71,464703.3205128205,5754400.284615384,9
105.5,0.0,-0.188,166.45,464703.2948717949,5754399.253846154,9
106.5,0.0,-0.188,166.96,464703.2692307693,5754398.223076923,9
107.5,0.0,-0.188,145.97,464703.2435897436,5754397.192307692,9
108.5,0.0,-0.188,158.87,464703.21794871794,5754396.161538461,9
109.5,0.0,-0.188,158.77,464703.1923076923,5754395.13076923,9
110.5,0.0,-0.188,152.99,464703.1666666667,5754394.1,9
111.5,0.0,-0.188,151.89,464703.141025641,5754393.069230769,9
112.5,0.0,-0.188,160.07,464703.1153846154,5754392.038461538,9
113.5,0.0,-0.188,157.56,464703.08974358975,5754391.007692307,9
114.5,0.0,-0.188,160.52,464703.0641025641,5754389.976923077,9
115.5,0.0,-0.188,165.9,464703.0384615384,5754388.946153847,9
116.5,0.0,-0.188,167.06,464703.0128205128,5754387.915384616,9
117.5,0.0,-0.188,168.27,464702.9871794872,5754386.884615385,9
118.5,0.0,-0.188,167.48,464702.9615384616,5754385.853846154,9
119.5,0.0,-0.188,170.26,464702.9358974359,5754384.823076923,9
120.5,0.0,-0.188,167.05,464702.9102564103,5754383.792307693,9
121.5,0.0,-0.188,168.46,464702.8846153846,5754382.761538462,9
122.5,0.0,-0.188,161.83,464702.858974359,5754381.730769231,9
123.5,0.0,-0.188,161.94,464702.8333333333,5754380.7,9
