sondeo,survey,profile_number,order,line_id,point_index,lat,lon,elev_m,TMI_nT,gradient_nT_per_m
1,Survey1,54,1,S1_P54_O1,58,51.7630252,14.3369469,74.0,26524.62,-9999.99
1,Survey1,54,1,S1_P54_O1,59,51.7630239,14.3369477,75.0,31868.5,-9999.99
1,Survey1,54,1,S1_P54_O1,60,51.7630236,14.3369493,75.0,25508.14,-9999.99
1,Survey1,54,1,S1_P54_O1,61,51.7630233,14.3369509,75.0,31747.04,-9999.99
1,Survey1,54,1,S1_P54_O1,62,51.7630205,14.3369508,75.0,25297.4,-9999.99
1,Survey1,54,1,S1_P54_O1,63,51.7630177,14.3369507,75.0,31961.03,-9999.99
1,Survey1,54,1,S1_P54_O1,64,51.7630167,14.3369513,75.0,25128.04,-9999.99
1,Survey1,54,1,S1_P54_O1,65,51.7630158,14.336952,75.0,31723.87,-9999.99
1,Survey1,54,1,S1_P54_O1,66,51.7630153,14.3369523,75.0,24625.99,-9999.99
1,Survey1,54,1,S1_P54_O1,67,51.7630148,14.3369527,75.0,32050.56,-9999.99
1,Survey1,54,1,S1_P54_O1,68,51.7630143,14.3369517,75.0,24378.23,-9999.99
1,Survey1,54,1,S1_P54_O1,69,51.7630139,14.3369507,75.0,31767.02,-9999.99
1,Survey1,54,1,S1_P54_O1,70,51.7630134,14.3369465,75.0,24584.56,-9999.99
1,Survey1,54,1,S1_P54_O1,71,51.7630129,14.3369424,75.0,31703.82,-9999.99
1,Survey1,54,1,S1_P54_O1,72,51.763013,14.3369401,75.0,25021.72,-9999.99
1,Survey1,54,1,S1_P54_O1,73,51.7630131,14.3369379,75.0,31904.79,-9999.99
1,Survey1,54,1,S1_P54_O1,74,51.7630126,14.3369363,75.0,25204.13,-9999.99
1,Survey1,54,1,S1_P54_O1,75,51.7630122,14.3369347,75.0,31861.42,-9999.99
1,Survey1,54,1,S1_P54_O1,76,51.7630128,14.3369351,75.0,25258.77,-9999.99
1,Survey1,54,1,S1_P54_O1,77,51.7630134,14.3369356,75.0,31768.11,-9999.99
1,Survey1,54,1,S1_P54_O1,78,51.7630137,14.3369353,75.0,24528.59,-9999.99
1,Survey1,54,1,S1_P54_O1,79,51.763014,14.336935,75.0,31745.1,-9999.99
1,Survey1,54,1,S1_P54_O1,80,51.7630145,14.3369351,75.0,24973.55,-9999.99
1,Survey1,54,1,S1_P54_O1,81,51.7630151,14.3369353,75.0,0.0,0.0
1,Survey1,54,1,S1_P54_O1,82,51.7630147,14.336936,75.0,25235.48,-9999.99
1,Survey1,54,1,S1_P54_O1,83,51.7630143,14.3369367,75.0,24462.81,-9999.99
1,Survey1,54,1,S1_P54_O1,84,51.7630156,14.3369397,75.0,24691.4,-9999.99
1,Survey1,54,1,S1_P54_O1,85,51.7630169,14.3369427,75.0,24759.7,-9999.99
1,Survey1,54,1,S1_P54_O1,86,51.7630166,14.3369423,75.0,24755.21,-9999.99
1,Survey1,54,1,S1_P54_O1,87,51.7630163,14.336942,75.0,24767.64,-9999.99
1,Survey1,54,1,S1_P54_O1,88,51.7630169,14.3369425,75.0,24762.6,-9999.99
1,Survey1,54,1,S1_P54_O1,89,51.7630175,14.336943,75.0,24743.02,-9999.99
1,Survey1,54,1,S1_P54_O1,90,51.7630193,14.3369437,75.0,24733.54,-9999.99
1,Survey1,54,1,S1_P54_O1,91,51.7630211,14.3369444,75.0,24798.47,-9999.99
